gamma	C	AUC	Test_acc	Train_acc	Train_acc-Test_acc
1.000000	0.100000	0.472574	0.527426	0.998188	0.470762
1.000000	0.200000	0.472574	0.527426	0.998188	0.470762
1.000000	0.500000	0.500000	0.527426	0.998188	0.470762
1.000000	0.800000	0.472574	0.529536	1.000000	0.470464
1.000000	1.000000	0.704089	0.537975	1.000000	0.462025
1.000000	2.000000	0.704000	0.546414	1.000000	0.453586
1.000000	5.000000	0.704267	0.546414	1.000000	0.453586
2.000000	0.010000	0.314747	0.527426	0.999094	0.471668
2.000000	0.020000	0.314186	0.527426	0.999094	0.471668
2.000000	0.050000	0.500000	0.527426	0.999094	0.471668
2.000000	0.080000	0.500000	0.527426	0.999094	0.471668
2.000000	0.100000	0.495781	0.527426	0.999094	0.471668
2.000000	0.200000	0.472574	0.527426	0.999094	0.471668
2.000000	0.500000	0.312690	0.527426	0.999094	0.471668
2.000000	0.800000	0.527426	0.527426	1.000000	0.472574
2.000000	1.000000	0.686980	0.529536	1.000000	0.470464
2.000000	2.000000	0.686802	0.529536	1.000000	0.470464
2.000000	5.000000	0.686874	0.529536	1.000000	0.470464
5.000000	0.010000	0.438133	0.527426	0.999094	0.471668
5.000000	0.020000	0.500000	0.527426	0.999094	0.471668
5.000000	0.050000	0.500000	0.527426	0.999094	0.471668
5.000000	0.080000	0.500000	0.527426	0.999094	0.471668
5.000000	0.100000	0.472574	0.527426	0.999094	0.471668
5.000000	0.200000	0.472574	0.527426	0.999094	0.471668
5.000000	0.500000	0.407841	0.527426	0.999094	0.471668
5.000000	0.800000	0.592382	0.527426	1.000000	0.472574
5.000000	1.000000	0.600785	0.527426	1.000000	0.472574
5.000000	2.000000	0.611565	0.527426	1.000000	0.472574
5.000000	5.000000	0.598284	0.527426	1.000000	0.472574
